# Arm A corpus manifest, 2026-09-19. One row per corpus file.
# The corpus itself is NOT committed: it is third-party source, and this repository is public
# (see the corpus-measurement block in .gitignore). These are git blob hashes, the same value
# GitHub's contents API returns as .sha, so every row can be re-fetched and checked:
#   gh api repos/<repo>/contents/<path>?ref=<commit> --jq .sha
# All 48 rows were checked against GitHub on 2026-09-19 and matched.
side	case	repo	commit	path	blob_sha1
parent	01	n8n-io/n8n	2bba053d09e310b142c684a406daa110a5ce3666	packages/@n8n/api-types/src/dto/index.ts	1d1b2f56ccacf08ba790229b2fba819546a276cf
parent	01	n8n-io/n8n	2bba053d09e310b142c684a406daa110a5ce3666	packages/cli/src/controllers/me.controller.ts	07a14ce83ea286acb7ebc3f85b6ad6f7aa248817
parent	01	n8n-io/n8n	2bba053d09e310b142c684a406daa110a5ce3666	packages/frontend/@n8n/rest-api-client/src/api/users.ts	3bcee734a9a1954d91555984be43f4590192f654
parent	01	n8n-io/n8n	2bba053d09e310b142c684a406daa110a5ce3666	packages/frontend/editor-ui/src/features/settings/users/users.store.ts	8048acf4cd4cee345f1ee70ead71ccb7f473c0f9
fix	01	n8n-io/n8n	a70b2ea379086da3de103bb84811e88cadf29976	packages/@n8n/api-types/src/dto/index.ts	1603ce2f4d46b0f0948b40f84624f6c25b038b7f
fix	01	n8n-io/n8n	a70b2ea379086da3de103bb84811e88cadf29976	packages/cli/src/controllers/me.controller.ts	9c2bae708429d4439deff12de4645824ef7b72b7
fix	01	n8n-io/n8n	a70b2ea379086da3de103bb84811e88cadf29976	packages/frontend/@n8n/rest-api-client/src/api/users.ts	752166ce2ee8c130e6006e088eecd592b91f0aa2
fix	01	n8n-io/n8n	a70b2ea379086da3de103bb84811e88cadf29976	packages/frontend/editor-ui/src/features/settings/users/users.store.ts	bb225e50aa14e99e204be4e690d4d04db94fbb71
parent	02	Budibase/budibase	124e5df31a4725334c65aea3f4b37db6cb10d119	packages/worker/src/api/routes/global/groups.ts	69b69d7242efb71c96730d3cd2292aa26054cf03
fix	02	Budibase/budibase	93db77846e68231ba655f180581c94503985421a	packages/worker/src/api/routes/global/groups.ts	3777dec3fc50c283cd1682130bf075f8dd5281d6
